id,Date,items
0,21-07-2015,"""tropical fruit"",""long life bakery product"",""meat"",""sugar"",""rolls/buns"",""semi-finished bread"",""whole milk"",""citrus fruit"",""candy"",""napkins"""
1,05-01-2015,"""whole milk"",""butter"",""female sanitary products"",""pot plants"",""other vegetables"",""tropical fruit"",""root vegetables"",""whole milk"",""shopping bags"",""chocolate"",""chocolate"",""coffee"",""hygiene articles"""
2,19-09-2015,"""pip fruit"",""sausage"",""frankfurter"",""pork"",""other vegetables"",""white wine"",""long life bakery product"",""fruit/vegetable juice"",""flour"",""hygiene articles"""
3,12-12-2015,"""other vegetables"",""soda"",""citrus fruit"",""onions"",""soda"",""domestic eggs"",""shopping bags"""
4,01-02-2015,"""whole milk"",""cling film/bags"",""other vegetables"",""ham"",""white bread"""
5,14-02-2015,"""rolls/buns"",""rolls/buns"",""canned beer"",""bottled beer"",""ham"",""coffee"",""whole milk"",""liquor"",""yogurt"",""white wine"",""meat"",""citrus fruit"",""hamburger meat"",""pickled vegetables"",""salty snack"",""domestic eggs"",""soda"",""canned beer"",""newspapers"",""pasta"",""soda"",""butter milk"",""white bread"",""soda"",""fruit/vegetable juice"",""chocolate marshmallow"""
6,08-05-2015,"""other vegetables"",""other vegetables"",""butter milk"",""tropical fruit"",""brown bread"",""chicken"",""bottled water"",""pork"",""berries"",""soda"",""processed cheese"",""dessert"",""shopping bags"""
7,23-12-2015,"""pot plants"",""dessert"",""root vegetables"",""sausage"",""chicken"",""fruit/vegetable juice"",""chicken"",""butter"",""citrus fruit"",""tropical fruit"",""berries"",""pip fruit"",""vinegar"",""newspapers"",""other vegetables"",""skin care"",""chewing gum"",""whipped/sour cream"",""rolls/buns"""
8,20-03-2015,"""whole milk"",""decalcifier"",""dessert"",""pastry"",""specialty bar"",""whole milk"",""beef"",""red/blush wine"",""newspapers"""
9,12-02-2015,"""tropical fruit"",""whole milk"",""beef"",""cream cheese "",""citrus fruit"",""onions"",""whole milk"",""frozen vegetables"",""soda"""
10,24-02-2015,"""citrus fruit"",""whole milk"",""whipped/sour cream"",""root vegetables"",""whole milk"",""mustard"",""rolls/buns"",""whole milk"",""brown bread"",""whole milk"",""pot plants"",""flour"",""rolls/buns"",""pastry"""
11,14-04-2015,"""beef"",""root vegetables"",""hamburger meat"",""pastry"",""citrus fruit"",""bottled beer"",""onions"",""root vegetables"",""whole milk"",""beef"",""specialty bar"",""pip fruit"",""specialty chocolate"",""cream cheese "",""soda"",""liquor (appetizer)"",""whole milk"",""yogurt"",""waffles"",""chocolate"",""bottled beer"",""dessert"",""pastry"",""cling film/bags"",""candy"",""sliced cheese"",""whole milk"""
12,21-07-2015,"""frankfurter"",""frankfurter"",""citrus fruit"",""cleaner"",""ham"",""soda"",""berries"",""canned beer"",""bottled water"",""pip fruit"",""pip fruit"",""newspapers"",""white bread"",""processed cheese"",""pastry"",""bottled beer"",""shopping bags"",""beverages"",""pickled vegetables"",""brown bread"",""soda"""
13,03-09-2015,"""chicken"",""beef"",""tropical fruit"",""oil"",""other vegetables"",""waffles"",""pip fruit"",""whipped/sour cream"",""margarine"",""pickled vegetables"",""brown bread"""
14,21-07-2015,"""butter"",""beef"",""other vegetables"",""pastry"",""other vegetables"",""soda"",""onions"",""yogurt"",""seasonal products"",""curd"",""UHT-milk"""
15,30-03-2015,"""fruit/vegetable juice"",""citrus fruit"",""pastry"",""whole milk"",""tropical fruit"",""hamburger meat"",""root vegetables"",""pip fruit"",""pastry"",""soft cheese"",""other vegetables"",""root vegetables"",""yogurt"",""semi-finished bread"",""specialty chocolate"",""softener"",""rolls/buns"",""pot plants"",""bottled water"""
16,03-05-2015,"""packaged fruit/vegetables"",""fish"",""frozen meals"",""specialty chocolate"",""brown bread"""
